日期,ndcg,mrr,kendall_tau_distance
2020-06-26,1.0,0.3333333333333333,0.0
2020-06-29,1.0,1.0,0
2020-07-02,1.0,1.0,0.0
2020-07-03,0.9651954696014428,0.3333333333333333,0.6666666666666666
2020-07-04,0.9687707507974168,0.3333333333333333,0.5
2020-07-06,0.858995014616199,0.2,0.5
2020-07-07,0.8579352313323854,0.5,0.4
2020-07-11,1.0,0.3333333333333333,0.0
2020-07-14,1.0,1.0,0.0
2020-07-16,1.0,1.0,0.0
2020-07-20,0.8444159115540016,0.3333333333333333,0.2857142857142857
2020-07-27,1.0,1.0,0.0
2020-07-29,0.8504430385239111,0.16666666666666666,0.3333333333333333
2020-08-04,0.9640102840285548,1.0,0.23809523809523808
2020-08-12,1.0,0.2,0.0
2020-08-19,1.0,1.0,0.0
2020-08-21,0.9532814143156267,0.5,0.047619047619047616
2020-08-26,1.0,0.16666666666666666,0.0
2020-08-27,1.0,0.14285714285714285,0.0
2020-09-06,1.0,0.125,0.0
2020-09-22,1.0,0.1111111111111111,0.0
2020-10-14,1.0,0.1,0.0
2020-10-28,1.0,1.0,0.0
2020-10-30,1.0,1.0,0.0
2020-10-31,1.0,1.0,0.0
2020-11-02,0.9527752039384909,1.0,0.16363636363636364
2020-11-05,1.0,0.1,0.0
2020-11-09,1.0,0.09090909090909091,0.0
2020-11-16,0.8146486951532841,0.3333333333333333,0.16666666666666666
2020-11-21,1.0,0.08333333333333333,0.0
2020-11-24,0.8802243665262303,0.08333333333333333,0.16666666666666666
2020-12-12,0.8761602796854936,0.09090909090909091,0.18181818181818182
2020-12-18,0.7382005005731416,0.3333333333333333,0.37777777777777777
2020-12-21,1.0,1.0,0.0
2020-12-28,1.0,0.1,0.0
2020-12-29,0.8918079522499618,0.5,0.18181818181818182
2021-01-04,1.0,0.09090909090909091,0.0
2021-01-18,0.8802243665262303,0.08333333333333333,0.16666666666666666
2021-01-20,0.7920972906219242,0.3333333333333333,0.2948717948717949
2021-02-09,0.8271057010725931,0.2,0.16666666666666666
2021-02-10,0.8943344428626793,0.16666666666666666,0.16666666666666666
2021-02-13,0.8590107718282072,0.3333333333333333,0.16666666666666666
2021-02-21,0.795011431929165,0.25,0.28205128205128205
2021-02-24,0.8112736980898131,0.16666666666666666,0.18181818181818182
2021-02-25,0.8090641262396061,0.14285714285714285,0.30303030303030304
2021-02-26,0.7760253936324926,0.3333333333333333,0.3181818181818182
2021-03-02,0.9141262681173433,0.3333333333333333,0.18181818181818182
2021-03-08,0.8761602796854936,0.09090909090909091,0.18181818181818182
2021-04-01,0.7886238730714935,0.09090909090909091,0.18181818181818182
2021-04-02,0.7896196145979544,0.25,0.30303030303030304
2021-04-05,0.7733069444837494,0.3333333333333333,0.18181818181818182
2021-04-21,1.0,0.09090909090909091,0.0
2021-04-26,0.7628475471114347,0.3333333333333333,0.2948717948717949
2021-04-30,0.7543800104895244,0.3333333333333333,0.27472527472527475
2021-05-01,0.7896867805507595,0.2,0.38461538461538464
2021-05-19,0.7932316307406062,0.3333333333333333,0.2222222222222222
2021-05-24,0.9142627511184321,0.5,0.3333333333333333
2021-05-25,0.9751505962960745,0.3333333333333333,0.2857142857142857
2021-05-27,0.9435186167725873,0.14285714285714285,0.2857142857142857
2021-05-31,0.9525283502832967,1.0,0.23809523809523808
2021-06-02,0.7503846658256149,0.25,0.5
2021-06-03,0.9405438552498261,1.0,0.3
2021-06-04,1.0,1.0,0.0
2021-06-14,1.0,1.0,0.0
2021-06-21,1.0,1.0,0.0
2021-07-05,0.8403030283801005,0.3333333333333333,0.6666666666666666
2021-07-15,1.0,1.0,0.0
2021-07-18,1.0,1.0,0.0
2021-07-21,0.9866958186074293,1.0,0.1
2021-07-26,1.0,1.0,0.0
2021-07-27,1.0,1.0,0.0
2021-07-29,0.9434469004225651,0.3333333333333333,0.2
2021-07-30,1.0,1.0,0.0
2021-08-06,1.0,1.0,0.0
2021-08-08,1.0,0.3333333333333333,0.0
2021-08-13,0.8878101739892865,0.5,0.1
2021-08-17,0.8878101739892865,0.5,0.1
2021-08-22,1.0,1.0,0.0
2021-08-27,0.7579237460681981,0.3333333333333333,0.6666666666666666
2021-09-16,1.0,0.3333333333333333,0.0
2021-09-17,1.0,0.3333333333333333,0.0
2021-10-16,1.0,1.0,0.0
2021-10-22,0.9467009784197933,0.2,0.4
2021-10-24,0.9777242507697853,0.2,0.4
2021-10-28,1.0,1.0,0.0
2021-11-14,1.0,0.5,0.0
2021-11-22,1.0,1.0,0.0
2021-11-23,1.0,1.0,0.0
2021-11-25,1.0,0.25,0.0
2021-11-26,0.9065280314885752,0.5,0.4
2021-12-04,0.7130428942292424,0.14285714285714285,0.38095238095238093
2021-12-11,0.9838152727397723,1.0,0.26666666666666666
2021-12-13,1.0,1.0,0.0
2021-12-19,1.0,1.0,0.0
2021-12-20,1.0,1.0,0.0
2021-12-25,1.0,1.0,0.0
2021-12-26,0.8797512467587005,0.5,0.4
2021-12-30,0.9422677283143697,0.5,0.3333333333333333
2022-01-03,1.0,0.5,0.0
